Name,Communities,CGI,Description,Institutional links,Metanotes
Djadjat Council 'men of the circle',Egypt ,"Council (local),Frequent and/or regular meetings,Deliberation,Unanimity","Council at the level of the Nome (highest administrative unit in the state). Exists already in the old kingdom.

A Local Council, headed by the nomarch. Members hold priestly or scribal titles. Patronage by the nomarch is probably the main, but not the only, means of access. Aids the nomarch in tax collection, administration, policing.

Gathers probably with regular frequency, but we don't know how frequently. no direct evidence about decision-making, but by ethnographic parallels, it probably included extensive deliberations aimed at unanimity


RA notes:
Probably without any royal oversight, run by Local Notables and concerned with local government, administration and legal proceedings. In the religious sense, it was also a venue for judging the deceased. Djadjat, however, did not have as much authority as the the Royal Court, so it was not able to impose corporal punishment such as mutilation. Djadjat was the dominant council capable of making decisions under the Old and Middle Kingdom. By the time of the New Kingdom, Qenbet became more significant. 

- The oldest Egyptian term for a council – or at least some sort of gathering of notables – is the djadjat (‘the men of the circle’); a term which in origin most likely denoted the circle of people who came together to discuss the affairs of their local community, probably without any royal oversight. (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- In the case on an Old Kingdom stela concerned with the sale of a house in Giza (c. 2300BCE), it appears that djadjat played a judicial role in validating property transactions. (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- The presence of the buyer, seller, and witnesses before the djadjat suggests a modus operandi resembling a court of law, although the procedure here is merely of legal affirmation rather than the settlement of any dispute. (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- One tablet (c. 2200BCE) reveals that the djadjat was responsible for managing logistical matters, such as booking the arrival of potters for local officials. (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- Others, written in a similar style, allude to the djadjat being involved in the organisation of agriculture, tax collection and procurement of labour for construction projects. (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- Indeed, the presence of a djadjat seems to have been a marker of a viable, well-run community, so much so that Old Kingdom religious texts already refer to the supernatural community of the gods having its own djadjat.  (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- Thus, leading figures in the state administration, such as the sole companion of the king Tjay (c. 2450BCE), the vizier Kagemni (c. 2300BCE) and the royal overseer of works Ity (c. 2300BCE), allude to how they expect the divine djadjat to intercede on their behalf against anyone who might wish to violate their tombs. (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- In the Middle Kingdom, the djadjat continued in a very similar role.  (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- The most detailed example of its activity is recorded in Papyrus Berlin 10470 (c. 1650BCE), which describes in remarkable detail how the local djadjat of the city of Elephantine considered what seems a fairly low-level request to alter the working arrangements of a single female servant named Senbet.  (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- The process can be broken down into the following steps :
1.	Initial appeal to the herald of Elephantine , asking him to consider the transfer of Senbet from combined public and private service (working jointly for the city of Elephantine and a private master) to full-time service to a different private master.
2.	Herald decrees that the permission of all parties involved is necessary for the transfer to go ahead, and that approval of the royal palace, represented by the vizier, must also be sought.
3.	Vizier responds, saying that approval is possible provided that all other parties are satisfied.
4.	At the herald’s office, consent is obtained from the representatives of the city of Elephantine, the outgoing private master, and the prospective private master. Senbet herself and the governor of Elephantine are also informed that proceedings have reached this stage.      
5.	Herald’s office sends confirmation to the vizier that all relevant parties have consented.
6.	Vizier grants approval, conditional on Senbet being notified and all employers giving oaths at the herald’s office.
7.	Senbet is informed and employers give the required oaths at the herald’s office.
8.	Document confirming the completion of the procedure is drawn up and passed to the local djadjat for final approval and archiving. Senbet can start service for her new master. (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- This procedure, while undoubtedly bureaucratic and cumbersome, indicates a high level of inclusivity in local governance – the state was not simply prepared to re-assign a servant from one domain to another, but deemed it necessary to consult all parties with a view to achieving the satisfaction of each. (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- There is ample evidence for the Middle Kingdom djadjat having an extensive record-keeping staff, with the title ‘scribe of the djadjat’ becoming common and many holders of this title possessing their own seals .  (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- The presence of a dedicated bureaucracy is consistent would be consistent with the institution regularly needing to handle complex tasks of the sort outlined above.  (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- Much like in the Old Kingdom, the Middle Kingdom djadjat also continued to be involved in various other spheres of activity connected to local government and administration, such as building boats , supplying grain , managing convict labourers  and maintaining good order in the temples .  (Alex Loktionov, Inclusive Governance in Ancient Egypt)
- It is highly significant that all these diverse activities were therefore run by a council, indicative of some degree of inclusive governance, and not by a single appointed official as one might expect in a top-down, strictly hierarchical political system.  (Alex Loktionov, Inclusive Governance in Ancient Egypt)


Old Kingdom:
-	These texts clearly indicate that the djadjat could be a venue for quite complex legal proceedings, involving oaths, witnesses, messengers, and transfer of property. (Alex Loktionov, PhD, p. 82)
-	In the religious literature of the period, it is also a venue for judging the deceased (Goedicke 1963: 340) 66. (Alex Loktionov, PhD, p.82)
-	However, it is striking that it is attested so rarely in title strings, and that the attestations which do exist invariably have close ties to scribal bureaucracy. (Alex Loktionov, PhD, p. 83)
-	One possibility might be that the djadjat, designating a group of people rather than any specific location, was in fact a far more common and informal outlet for daily justice than its more elite and hence better documented counterparts like the wsh.t or hw.t-wr.t 67. (Alex Loktionov, PhD, p. 83)
-	It may have operated at a lower level along oral-aural lines, adjudicating between people who did not regularly produce texts, convening outside the temple setting or the realm of royal administration, and only appearing in the written record on the rare occasions when scribal involvement did prove necessary.  (Alex Loktionov, PhD, p. 83)
-	If so, it may have resembled the customary village assemblies prevalent in traditional societies in sub-Saharan Africa, as discussed in the ethnographic overview in the previous chapter68. (Alex Loktionov, PhD, p. 83)

Middle Kingdom:
-	Overall, it therefore seems highly likely that in the Middle Kingdom the djadjat was an administrative body with a wide remit, with justice being one component among many. (Alex Loktionov, PhD, p. 113)
-	By this time it might in certain cases have developed a more rigid structure with a permanent or semi-permanent staff, and could be associated with high officials. (Alex PhD, p. 113)
-	However, the presence of regional, less formal djadjat-courts naturally cannot be excluded and indeed seems highly probable. (Alex Loktionov, PhD, p. 113)
-	It is noteworthy that, despite its relative prominence, there is not a single attestation of the djadjat in the title strings of Middle Kingdom officials involved in sdm – this may suggest that its participation in justice was still largely based on informal methods. (Alex Loktionov, PhD, p. 113)","Consisted of local Notables and the nomarch. Administers the Nome to carry out nomarch's functions
",
Mayors,Egypt ,,"Heads of the cities. 

- ""It is the high priests of the shrines, the mayors of the interior of this land , and the priests of the gods who are to make up any qenbet"" (Alex Loktionov, Inclusive Governance in Ancient Egypt).
- This presumably refers to mayors of settlements within the conventional boundaries of Egypt, rather than its colonial possessions in Nubia or the Levant (Alex Loktionov, Inclusive Governance in Ancient Egypt).
- Hereditary, appointed by Pharaoh (Alex Loktionov)

- The heads of such families often identified themselves with titles which we translate as ‘mayor’ or ‘nomarch’ (nome being a Greek word for a unit of provincial government). (Kemp, p. 8)

- Responsible for tax collection under the supervision of the Vizier. (Moreno Gracia, p. 173)
- Overseers of the Priests (Rice, p. 10) (Moreno Gracia, p. 173)
- One of many local authorities to have jurisdiction over an urban centre and adjacent rural land in association with settlement-leaders and overseers of the fields in accordance with Rekhmire's description of the rural administration. (Moreno Gracia, p. 739)","Appointed by Pharaoh, or more likely the nomarch.",
Priests,Egypt ,,"Govern the temples.

- ""It is the high priests of the shrines, the mayors of the interior of this land , and the priests of the gods who are to make up any qenbet"" (Alex Loktionov, Inclusive Governance in Ancient Egypt).

- The gods were served by priests, of different grades and functions. (Rice, xxxvi)
- In the early centuries all Egyptians of standing were expected to serve as priests in the temples, for an agreed period each year; this represented more of a social obligation than evidence of a religious vocation. (Rice, xxxvi)
- Later, as the perquisites of the temple hierarchies grew, the priesthood became increasingly professional. (Rice, xxxvi)
- Many of the most rewarding of the temple benefices became hereditary fiefs. (Rice, xxxvi)
- Nonetheless, the king was notionally the High Priest of every cult, the temple priests merely his surrogates. (Rice, xxxvi)
- However, each major temple community was directed by High Priest whose power was often very great. (Rice, xxxvi)
- Some of the High Priesthoods, such as that of Ptah of Memphis, Re of Heliopolis and Amun of Thebes  were the greatest political figures in the state; eventually, the power of some of them was to rival, if it did not exceed, the power of the kings. (Rice, xxxvi)

- This last category of scribe might well be a priest, serving the god in a particular capacity and occupying a place in the intensely hierarchic gradings of temple personnel. (Rice, lvi)
- These ranged from the High Priest, who presided over the entire concerns of the temple, which in some cases came in time to rival the power of the king himself; the Second, Third and Fourth Prophets, who were the senior clergy of the Temple; and to minor functionaries who, though their duties might be quite humble—cleaning the temple for example or ensuring that the god’s clothes or daily rations were in order— nonetheless valued highly their employment in the temple, which provided an absolute security for life. (Rice, lvi)

",Members of the Djadjats,
'Hearers' (sdmw) and 'The Great Prison' (hnrt wr),Egypt ,,"A system of bureaucratic control over Departments of the Royal Court.

- The hnrt wr may be considered a functional extension of the vizier's administration, a central facility at his disposal. (van den Boorn, p. 316)
-	In the vizier's operational control over departments a crucial role is played by the hnrt wr, ""the great prison"" and its sdmw ""hearers"",(section 7).  (van den Boorn, p. 318)
-	Detailed procedures regulate the processing of information on the departments. (van den Boorn, p. 318)
-	They ensure that the vizier is informed of and has ultimate control over ongoing business. (van den Boorn, p. 318)
-	Data on departments are processed in the form of provisional documents drawn up by scribes of the hnrt wr. 
-	The documents are the result of inquiries carried out by hearers (sdmw of the hnrt wr). (van den Boorn, p. 318)
-	These officials, with powers delegated by the vizier, operate a system of bureaucratic control over the work and activities of departments. (van den Boorn, p. 318)
-	Provisional documents are submitted to the vizier together with ‘Sammelberichten’ (sfdw) of the previous documentation on a particular department stored in the hnrt wr. (van den Boorn, p. 318)
-	After inspection (and ensuing assessment) the document is sealed by the vizier and stored in the hnrt wr. (van den Boorn, p. 318)
-	Thus, the vizier controls the departments in a rather impersonal manner, mainly through written documentation. (van den Boorn, p. 318)
-	Two points are of particular interest. (van den Boorn, p. 318)
-	The hearing or inquiry by the hearers and the ensuing inspection of the relevant documents by the vizier appear to postdate the actual activity of the department. (van den Boorn, p. 318)
-	In other words, the departments operate in a relatively independent fashion and are only checked by the vizier through a post factum control. (van den Boorn, p. 318)
-	The second point is, the typical role played by the ""great prison"". (van den Boorn, p. 318)
-	As a functional extension of the vizier's administration it seems to run a overall ""surveillance system"" of the various departments of the central government. (van den Boorn, p. 318)
-	The vizier leaves the actual supervision of the central departments to a subdivision of his own apparatus, viz. the ""great prison"". (van den Boorn, p. 319)
","A system of bureaucratic control over Departments of the Royal Court
Their powers are delegated by Vizier and they act as his informants. Could also pass judgment themselves.",
'Overseer of the Treasury' (imy-r htm),Egypt ,,"The Head of Treasury and its administration. 

- Vizier acted as managing director of pr-nsw (royal palace) in co-operation with the overseer of the treasury as his co-director (van den Boorn, p. 311)
- daily exchange of information between the vizier and the overseer of the treasury on their own affairs and on particular points of their own work that are of interest to the other (section 3). (van den Boorn, p. 311)
- The internal operation of the pr-nsw appears primarily to be based on a daily exchange of relevant information between the two officials in charge. (van den Boorn, p. 311)
- The vizier receives reports from every responsible official on certain matters involving the overseer of the treasury, on every department of the residence-city and on the opening and closing of the htmw in the pr-nsw. (van den Boorn, p. 311)
- This he communicates to the imy-r htm, the overseer of the treasury. (van den Boorn, p. 311)
- Now, the latter receives from every responsible official reports on certain matters involving the vizier, in addition to reports on his own affairs and the pr-nsw. (van den Boorn, p. 311)
- This he communicates to the vizier. (van den Boorn, p. 311)
- The latter is ultimately in charge since he will have to inform the king on the state of the pr-nsw (implicitly) and it is he who will order the gates to be opened to allow the flow of traffic into the complex. (van den Boorn, p. 311)
- From the particular wording of sections 2 and 3 one gains the definite impression that the vizier deals first and foremost with security and the proper operation of the complex and its units (see also below), while the overseer of the treasury is more involved in the day-to-day management (the pr-nsw is explicitly stated to be his cponcern in R6). (van den Boorn, p. 311)
- One basic institution is mentioned separately as being under the shared responsibility of both officials viz. the Gold House, the workshops and storage areas. (van den Boorn, p. 311)

-  the vizier receives daily reports about every department of the hnw (st nbt hnw) ['residence-city'] and passes these on to the overseer of the treasury (section 3). (van den Boorn, p. 315)",Co-director of Vizier in managing Royal Court,
'Overseer of Police(men)' (imy-r sntw) and the '(Reception-)hall of the pr-nsw' (h3 n pr-nsw),Egypt ,,"The Head of Police and its administration. 

- The actual ""police"" work is carried out by the imy-r sntw, the overseer of police(men). (van den Boorn, p. 312)
- This official is appointed to the reception-hall of the pr-nsw by the vizier. (van den Boorn, p. 312)
- Thus, the overseer of police seems to be stationed in this hall. 
- The official and his subordinates, the sntw, ""policemen"", report to him on their affairs. (van den Boorn, p. 312)
- Now, in section 2 we surmised that the overseer of police had the pr-nsw as his area of competence. (van den Boorn, p. 312)
- This would mean that he is in charge of the security of the various subdivisions of the pr-nsw, viz. the htmw, the mnnww, the h3 n t3ty, the h3 n pr-nsw, the pr n t3ty, the pr-nbw (see fig. 5). (van den Boorn, p. 312)
- ""Their affairs"" thus may amount to matters concerning the security of these subdivisions and of the complex as a whole. (van den Boorn, p. 312)
","Appointed by Vizier
",
'Overseer of the District' (imy-r w),Egypt ,,"The Head of the Governmental Centre and its administration. 

- In fig. 5 (p 67) we have visualised the pr-nsw as part of a larger entity, the hnw (governmental centre). (van den Boorn, p. 315)
- While traffic into the pr-nsw is controlled by Vizier personally (sections 2 and 3), traffic into the hnw is under Vizier's indirect control through the agency of a messenger of his. (van den Boorn, p. 315)
- This ensures that he is kept informed of ongoing business in the hnw. (van den Boorn, p. 315)
- In section 2 we have suggested that an overseer of the district covered the hnw as his area of competence. (van den Boorn, p. 315)
- The official appears to be charged with policework in a way similar to the imy-r sntw. (van den Boorn, p. 315)
- Now, the vizier receives· direct reports by the overseer of the district on the latter's affairs which pertain to order and security of the hnw. (van den Boorn, p. 315)
",Vizier's informant ,
Per-ankh,Egypt ,,"Lit. House of life. Educational institution with scribes responsible for education of elite boys and girls (there is evidence of female scribes though it is rare). 

Education centers on texts concerned with good governance, good order, maintenance of harmony and social balance. Scribal training, therefore, transmits values about good ordering of society.

Scribes then go on to become high officials, including senior judges and advisors of the pharaoh.","Educates officials, including judges",
Council,Tlaxcala,"Council (central) ,Meritocracy,Consensus,Deliberation,Tribunal/Court ,Voting","Tlaxcallan principal authority was vested in a governing council made up of persons who were obligated to provide military as well as administrative services to the polity.

The resources needed to meet these obligations were provided through the local variant of the teccalli system. Elsewhere a hereditary and patrilineal system, in Tlaxcala the teccalli (system to award wealth and resources to teuctli) depended on merit.

""The council, although difficult to piece together, seems to have had the power to declare war and peace, send ambassadors, propose alliances, and appoint and remove political and military officials to/from their posts up to and including the succession or execution of all teteuctin... Decision making was achieved through speechmaking and debate until a consensus was reached"" p. 237

Can act as a court p. 238

""The size of the governing council is unknown"" p. 238

",Approves the selection of Teuctli,
Teuctli ,Tlaxcala,,"High level political officials. Status is bestowed by merit, not inherited, and can be bestowed to people across all social sectors.

Officials receive a taccalli, resources or ""benefice"" that substituted for a salary.

""Following their selection and council approval, candidates for teuctli status were required to pass through elaborate induction rites during which they were socialized into their new role."" p. 238",Participate and vote in the council (p. 239),
Mexican state,Oaxaca,,"The region of Oaxaca is governed by the state of Mexico, but some of the municipalities (but not all) the usos prevails over elections of mayors through multiparty elections",Governs the state of Oaxaca at the federal level,
Assembly,Oaxaca,"Assembly (local),Meritocracy,Turnover/rotation,Election,Consultation,Deliberation,Vote by show of hands,Frequent and/or regular meetings,Public meetings,Secret ballot","In 'usos' municipalities, public goods provision is in the hands of local assemblies, citizen participation, and informal mediation. Assemblies elect leaders (Mayors) and the leaders make decisions by consulting the assembly.

""assemblies, rather than mayors or local councils, make the most important budgetary decisions, citizens are compelled to carry out tasks or duties for the provision of public goods, and local leadership itself can take various forms including rotating appointments.   Conflicts are solved through informal community mediation, rather than resorting to courts."" (Magaloni et al. 1843)

""for the most part municipal presidents in usos y costumbres places tend to be elected after climbing the ladder of community service or having a known record of performing volunteer services (cargos) in the community."" p. 1848

""In usos y costumbres, municipal presidents actively consult community assemblies for making decisions. Many collective decisions concerning the everyday actions of government are taken item by item, mostly in assemblies where there is a process of collective deliberation. In most cases, attendance to
community assemblies is mandatory. Most of the time, a long deliberation takes place—some assemblies can even last up to 10 hours—and citizens often raise their hands to vote. Traditionally, women were excluded from participating in many assemblies, although our field research revealed that this practice has changed."" p. 1849-50

""usos y costumbres municipalities tend to hold either biannual or yearly assembly meetings"" p. 1850

""The visibility and publicness of assembly deliberations about what to do with public money is a fundamental difference between usos y costumbres and parties"" p. 1850

""Furthermore, usos y costumbres municipalities have mechanisms to
broadcast information about public affairs that are absent in party representative systems. The process of direct democracy and deliberation that takes place in the assemblies reinforces a social network where individuals share information and deliberate."" p. 1851

""The typical voting method in community assemblies, according to our survey work, is 78% of the time through lifting hands in public. There is an additional 10% that our respondents report make decisions through secret ballot, and another 10% that count votes on a blackboard."" p. 1851",Part of the system known as usos y costumbres,
Cargos or Tequio,Oaxaca,,"Executive functions of the usos y costumbres system carried out by commmunity members.  

""In usos y costumbres municipalities, members of the community are
expected to perform public services which are usually mandatory.
Traditionally, none of the cargos are for pay, although field research reveals that gradually many usos y costumbres municipalities are paying some cargos, most notably that of municipal president.""...""According to our survey data, 60% of respondents had held a cargo of various types in the past. An almost universal 92% of respondents carried out a form of volunteer service (tequio) in the prior year."" p. 1852

""Cargos and tequio are a precondition to acquire community rights. Those who refuse to perform their cargos or tequio are sanctioned. Traditionally, sanctions include monetary punishment, imprisonment, disruption in the supply of water, physical punishment, or in extreme cases, banishment from the community."" p. 1853",Part of the system known as usos y costumbres,
Dispute reoslution system,Oaxaca,,"Voluntary topile perform security functions; adjudication and sanctions are in the hands of the assembly, a counsel of elders, an indigenous tribunal, and/or the municipal president.""

""Usos y costumbres municipalities have a parallel system of conflict resolution and adjudication and a parallel security system. The community charges topiles with the task of protecting the
security of its people, although they are seldom armed. The assembly, a counsel of elders, an indigenous tribunal, and/or the municipal president can hear conflicts and impose sanctions. The mechanisms for dispute resolution lie within the community and are exercised by its members who enjoy a high level of legitimacy."" p. 1854",Part of the system known as usos y costumbres,
Mayoral Elections,Oaxaca,,System that applies in the municipalities that do not use usos. Mayors are selected through multiparty elections.,Applies in the other Oaxacan municipalities. It is not clear that the two types of municipalities are related or how,
Doge,Venice,,"Chief Executive

During the period, the doge progressively loses executive power until it becomes ""not lords, not even leaders, but honored servants of the State. (Gonzales de lara et al. 2008, p. 106)

From Greif and Laitin 2004: ""The selection of the new Doge was entrusted to an official nominating committee to inhibit the ability to use a clan’s political machine and popular support to influence the election. The nominating committee itself was selected and formed through an elaborate process that used both lots and delegations.
The (partially random) process began in the Great Council, in which all adult nobles were eligible, so that all Venice’s main clans had representatives. From this Council a committee of 30 was chosen by lot and the selection proceeded through an additional nine steps of
delegation and selection by lot until the proposed candidate
for Dogeship was brought before the Venetian assembly for approval.""",Elected by the Great Council,
Grand Assembly,Venice,Assembly (central),"'Had the right to approve laws.' (González de Lara (2008), p. 106)",Doge candidate approved by the assembly,
Great Council,Venice,"Council (central) ,Election,Lottery/Random Selection,Board/Committee,Delegation","Included all the adult males of the Great families. Took an active role in the administration of the city state. (González de Lara (2008), p. 106). Elects the doge through a randomly elected subcommittee.",Its subcommittees elected doges ,
Jama’a ,M’zab,Council (central) ,"Council of the guarantors (city-level), responsible for public decisions, security and public works.",Takes care of public affairs within a city,
dar al-'achira,M’zab,"Council (local),Election",Maison de la section (section-level). Council of elected members who gather to discuss secular and spiritual matters and deal with orphans and widow (this is mostly a welfare institution). Members pay into the council according to each person's means.,Section council,
Ra’Is,M’zab,,Chief/guarantor of the section.,Appointed by the members of the M’zab council.,
Makaris,M’zab,,"Group responsible for the cities' protection, within and without.

Divided in three classes (little, medium and great), each class had its own committee and chief who organised its activities and linked it with the upper class. The great class resembled a board of members extended to the institution - it was entitled of planning, organising the protection, be present at the committee of azzabas to oversee the negotiations which concerned the two committees. The presidency of the council went to the most competent of the great class and to the oldest in the organisation.","connected with the system of Halqa ""moralement""",
Azzaba,M’zab,,"Petit imamat with various functions including military, economic , judicial, didactic, social and religious. Chooses its 12 members without external intervention. The members represent city sections and are chosen among the wise, virtuous and prestigious. p. 452. ","Religious institution, its members represents city sections",
Union Council,M’zab,Council (central) ,"Council at the level of the M'zab. Its members (notables) represent the cities. Periodic meetings.

It seems that the council had different functions in different periods: constitutional, executive and judiciary.","institutions at the level of the region, governing the cities ",
Chayk du wadi M'zab,M’zab,,"Chief of the union council (Chayk du wadi M'zab) is elected by and among the azzaba of the villages. he is an ""imam de la defense""",chief of the union council,
Guo Ren Assembly,Chinese Warring States,"Assembly (central),Consultation,Public meetings","Popular Assembly

""Though not regularized, there are numerous examples of important occasions where rulers consulted with the assembled guo ren"" (Stasavage 2020, 150)

guo ren means citizens (Mark Edward Lewis in Hansen and in Cambridge History). The assembly was not regularly summoned, but frequently and it helped the ruler to take important decisions. Nobles participated as well, but it was not elite.

as struggle between rival nobles intensified, the assembly came to 
play a more crucial role in civil conflict. although there is no evidence for the citizens controlling the government, their support was crucial to anyone who sought to govern (Lewis p. 369)",They helped the rulers make decisions,
King,Chinese Warring States,,"Central ruler, with powers including appointing officials, dispatching officials to cities, maintaining control with centralized administration.",Ruler appointed officials,
Shi (Reforming Minister),Chinese Warring States,,"Cadres, man of service, who through powers of mind and tongue won for himself the position of guide to the ruler. Remunerated through salary in grain: salary was used as a measure of rank.","Counsel to the ruler, similar to ministers",
Fa jing,Chinese Warring States,,Extended code of laws devoted to penal measures to control the people.,Not specified. Probably applied by the ruler,
Feng,Chinese Warring States,,Fief with holders not having any administrative or judicial role in their fiefs. They were simply granted the right to the tax income from a specific city or a specified number of households.,"Not specified, but fief holders were probably appointed by the king. Feng was formalised by the king to avoid any possibility of independent action",
Quan,Chinese Warring States,,Contracts used in land purchase agreements and other commercial agreements. They worked as statistical report to evaluate individual performance.,Used by the king,"""Such procedures fit closely with xing ming, a practice of controlling officials"". Even though not an institutional link, it speaks for culture and values."
Jue,Chinese Warring States,,"Hierarchy titles (ranks) to reward meritorious service to the state, particularly military success. These ranks entailed certain legal and religious privileges.",Not specified,
Xian/ Jun,Chinese Warring States,,"Directly administered districts in the state of Qin, with a magistrate (ling), vice-magistrate (cheng), a military commandant (wei) and sefu (overseers). 

Later called jun (with expansion), but later subdivided again into xian, thus creating a two-tiered system of administration.","Include a ling, a cheng, wei and sefus.",
Ling,Chinese Warring States,,Magistrate,Working in the xians,
Cheng,Chinese Warring States,,Vice-magistrate,Working in the xians,
Wei (Military commander),Chinese Warring States,,Military commander,Working in the xians,
Sefu,Chinese Warring States,,Overseer,Working in the xians. Probably more than one per xian,
Fu,Chinese Warring States,,"Household tax, used to register the population","Introduced by ruler Shang Yang
",
Persuader/ Diplomat,Chinese Warring States,,"Part of the idealised roles that constitute the Warring States polity
Moving from state to state promising a ruler to secure his interests through alliances that they would obtain through their persuasive skills.",Working to secure alliances to the king. Not specified if they were appointed,
Scholar/ Boshi,Chinese Warring States,,"Not an indispensable element of the new state structure, neither active participants in the political world. They evolved in close relation with the states of the period

""The first Emperor kept a large number of broadly learned official scholars (boshi) at his court""
Usually selling their services to clerks and ritual specialists, occasionally to royal courts but more often to great families, the courts of lesser states, or the households of newly enfeoffed nobles.","They were advisers to the ruler, given their “broadly learned” status.",
Ba,Chinese Warring States,,Ruler of the dominant state,Title given by the Zhou king,
Assembly of the leading cities,Chinese Warring States,,Reunion of leading states,"Advising the king on administrative topics, i.e, who they recognise as their military commander ",
Guo,Chinese Warring States,,State entity in the Warring States community,"Guo resembles both the term state and capital city, implying that the Warring States of China took their singular names from their respective capitals",
Warrior Elite,Chinese Warring States,,"Nobility ruling the Warring States. It includes kings, feudal lords hereditary ministers and nobles. Offices are hereditary, ruler is first among equals, decisions require consensus  - at least in theory (Lewis, p. 368). Authority is best understood as being wielded collectively.","Composed by king, feudal lord, hereditary minister and nobles",
Confederacy council,Wendat (Huron),"Council (central) ,Frequent and/or regular meetings","Council at the level of the Wendat confederacy (which includes four nations)

Confederacy meetings were held once a year, in the spring. The chief of the confederacy was the leader of the largest nation, the Attignawantan (HRAF)

Issues considered included the installation of new chiefs, resolving conflicts within member nations, maintaining friendly relations with non-Wendat allies and trading partners, and coordinating raids on common enemies, particularly the Haudenosaunee. Another purpose of council meetings was to provide opportunities to “strengthen
the confederacy by bringing together the headmen from all the Huron villages and giv[e] them an opportunity to reaffirm old friendships
and discuss topics of mutual interest”p. 18",Not specified,
Nation council,Wendat (Huron),"Council (local),Unanimity","Nations’ councils functioned much like village councils (although somewhat more ceremonial), with the difference that nation meetings took place only if concerns required the opinion of the nation. Chiefs of the villages would consult with one another, and decisions were taken unanimously. For nations’ councils, the civil chiefs "" The [village] council could be attended by all the old men of the village…, as well as the civil chiefs of the various clan segments... The clan-segment chiefs acted as spokesmen for their relatives and initiated most discussions."" (Heidenreich 1978: 371). The Tahontaenrat didn’t have a designated nation chief, as their village and nation council were the same.",Not specified,
Village council,Wendat (Huron),"Council (local),Meritocracy,Heredity","The village council was the smallest political unit, comprising two different councils: war and civil affairs. Chiefs were selected (and could be removed) by Clan Mothers based on their oratory skills (powers of persuasion), bravery, leadership, wisdom, generosity and performance as warriors. Alternatively, they could hold office by clan succession. Each clan had a chief, and it is likely that chieftainship belonged to a certain lineage within a clan.",Not specified,
Longhouse,Wendat (Huron),,"Wendat villages were made up of longhouses, within which there were 5-6 families. Longhouses were organised on the basis of kinship and ""functioned as base camps for groups who practiced some agriculture but who were also committed to broad-based subsistence strategies"" (Birch, 2018, p.17) Longhouses were usually led by matriarchs. In the rare cases that a male council existed, the women leaders had veto powers over them.",N/A,
Assembly,Greek democracies,"Assembly (central),Vote by show of hands,Deliberation,Delegation,Consensus,Quorum","Participatory decision-making institution, usually attended by the citizens without property or other restrictions. Actively debates and formulates proposals. Anybody can propose legislation.

Can delegate decision-making to the Council (Alberto Esu)

Meetings are run by boards of presidents who preside over the votes. These boards are usually selected to avoid capture (through mechanisms for representation, including selection by lot, and limits on powers and length of office). According to Canevaro, their function was to steer assembly debate toward consensus.",Agenda is set by the council,
Council,Greek democracies,"Council (central) ,Temporary position of power/Term Limits,Lottery/Random Selection,Turnover/rotation,Screening process,Scrutiny of officials,Agenda setting","The other key decision-making institution. It is usually a large body whose members have term limits and limits on iteration of office, are chosen from the whole population, and often by lot.

Its main function is to set the agenda for the Assembly.",sets agenda for the assembly,
Courts,Greek democracies,"Tribunal/Court ,Majority voting,Secret ballot,Public meetings",Deal with dispute-resolution but can also play an important role in legislation through procedures for judicial review.  They are manned by citizens who could be selected by lot.,Can provide judicial review of legislation (though specific procedures),
Magistrates,Greek democracies,"Magistrate/official,Board/Committee,Election,Lottery/Random Selection,Screening process,Scrutiny of officials,Remunerated position,Turnover/rotation","Magistrates of the city with executive functions. 

Some selected, some elected. no franchise

""In democratic cities, conditio sine qua non in the selection of the magistrates was that there should be no property qualification, and so that magistracies should be notionally open to all. But, beyond this, there was much variation on how magistrates were selected, on whether they should be paid for their services, and on how powerful particular magistracies were allowed to be. Regardless, what was normally missing, despite the fact that particular magistracies could de facto be more important than others, was a formal hierarchy of offices."" Canevaro. p. 14 

""Fairly limited powers distributed among large number of separate magistracies went hand in hand, in such contexts, with high levels of  participation."" Canevaro p. 15",Carry out decisions,
Assembly,Greek oligarchies,"Assembly (central),Delegation,Ratification/Acclamation only","Participatory decision-making institution, usually attended by the citizens without property or other restrictions. Ratifies proposals of the council, or delegates decision-making to it. Proposals often can only come from magistrates, rather than ho boulomenos (especially a lower class one).",Ratifies council proposals or delegates decision-making to the council,
Council,Greek oligarchies,"Council (central) ,Property requirement",Often the more important decision-making institution (compared to democracies). It is usually a small body whose members are selected among the wealthy and have no term limits.,Sets agenda for the assembly,
